CommentNo,BgId,LeftId,CenterId,RightId,BGMId,SEId,GrayBG,GrayL,GrayC,GrayR,BlackBG,BlackL,BlackC,BlackR,Glow,Fade,
CHAP1-1,MyRoom1,player1,,,BGM_Enjoy,,0,0,0,0,0,0,0,0,0,0
CHAP1-2,MyRoom1,player2,,,BGM_Enjoy,,0,0,0,0,0,0,0,0,0,0
CHAP1-3,MyRoom1,player3,,,BGM_Enjoy,,0,0,0,0,0,0,0,0,0,0
CHAP1-4,MyRoom1,player4,,,BGM_Enjoy,,0,0,0,0,0,0,0,0,0,0
CHAP1-5,Fantasy,player1,,,BGM_Enjoy,,0,0,0,0,0,0,0,0,1,0.3
CHAP1-6,Fantasy,player2,,,BGM_Enjoy,,0,0,0,0,0,0,0,0,0,0.3
CHAP1-7,Fantasy,player3,,,BGM_Enjoy,,0,0,0,0,0,0,0,0,0,0.3
CHAP1-8,Fantasy,player4,,hari_1,BGM_Enjoy,,0,1,0,0,0,0,0,0,0,0.3
CHAP1-9,Fantasy,player1,,hari_1,BGM_Enjoy,,0,1,0,0,0,0,0,0,0,0.3
CHAP1-10,Fantasy,player2,,hari_1,BGM_Enjoy,,0,0,0,1,0,0,0,0,0,0.3
CHAP1-11,Fantasy,player3,,hari_1,BGM_Enjoy,,0,1,0,0,0,0,0,0,0,0.3
CHAP1-12,Fantasy,player4,,hari_1,BGM_Enjoy,,0,1,0,0,0,0,0,0,0,0.3
CHAP1-13,Fantasy,player1,,hari_1,BGM_Enjoy,,0,0,0,1,0,0,0,0,0,0.3
CHAP1-14,Fantasy,player2,,hari_1,BGM_Enjoy,,0,0,0,1,0,0,0,0,0,0.3
CHAP1-15,Fantasy,player3,,hari_1,BGM_Enjoy,,0,1,0,0,0,0,0,0,0,0.3
CHAP1-16,Fantasy,player4,,hari_1,BGM_Enjoy,,0,0,0,1,0,0,0,0,0,0.3
CHAP1-17,Fantasy,player1,,hari_1,BGM_Enjoy,,0,0,0,1,0,0,0,0,0,0.3
CHAP2-1,Fantasy,player2,,hari_1,BGM_Enjoy,,0,1,0,0,0,0,0,0,0,0.3
CHAP2-2,Fantasy,player3,,hari_1,BGM_Enjoy,,0,1,0,0,0,0,0,0,0,0.3
CHAP2-3,Fantasy,player4,,hari_1,BGM_Enjoy,,0,0,0,1,0,0,0,0,0,0.3
CHAP2-4,Fantasy,player1,,hari_1,BGM_Enjoy,,0,0,0,1,0,1,0,0,0,0.3
CHAP2-5,Fantasy,player1,dorobogitune,hari_1,BGM_Enjoy,,0,1,0,1,0,0,0,0,0,0.3
CHAP2-6,Fantasy,player1,dorobogitune,hari_1,BGM_Enjoy,,0,1,0,0,0,0,0,0,0,0.3
CHAP2-7,Fantasy,player1,dorobogitune,hari_1,BGM_Enjoy,,0,0,0,0,0,0,0,0,0,0.3
CHAP2-8,Fantasy,player1,dorobogitune,hari_1,BGM_Enjoy,,0,0,0,0,0,0,0,0,0,0.3
CHAP2-9,Fantasy,player1,dorobogitune,,BGM_Enjoy,,0,1,0,0,0,0,0,0,0,0.3
CHAP2-10,Fantasy,player1,dorobogitune,,BGM_Enjoy,,0,1,1,0,0,0,0,0,0,0.3
CHAP2-11,Fantasy,player1,dorobogitune,,BGM_Enjoy,,0,1,1,0,0,0,0,0,0,0.3
CHAP3-1,Fantasy,player1,dorobogitune,,BGM_Enjoy,,0,1,0,0,0,0,0,0,0,0.3
CHAP3-2,Fantasy,player1,,,BGM_Enjoy,,0,0,1,0,0,0,0,0,0,0.3
CHAP3-3,Fantasy,player1,,,BGM_Enjoy,,0,0,1,0,0,0,0,0,1,0.3
CHAP3-4,MyRoom2,player1,,,BGM_Enjoy,,0,0,0,0,0,0,0,0,0,0.3
CHAP3-5,MyRoom2,player1,,,BGM_Enjoy,,0,1,0,0,0,0,0,0,0,0.3
CHAP3-6,MyRoom2,player1,,,BGM_Enjoy,,0,0,0,0,0,0,0,0,0,0.3
CHAP3-7,MyRoom2,player1,,,BGM_Enjoy,,0,0,0,0,0,0,0,0,0,0.3
